ITEM NO.,DESCRIPTION,ANGLE1,ANGLE2,LENGTH,QTY.
1,PFC 150x75,35.00,20.00,2654,1
2,PFC 150x75,35.00,20.00,2654,1
3,PFC 150x75,0.00,0.00,1168,2
4,PFC 150x75,0.00,0.00,1168,9
5,PFC 150x75,0.00,0.00,1168,2
6,PFC 150x75,0.00,0.00,1168,1
7,PFC 150x75,0.00,0.00,1168,1
8,PFC 150x75,0.00,0.00,1124,3
9,PFC 150x75,0.00,0.00,1124,1
10,PFC 150x75,0.00,0.00,1124,1
11,PFC 150x75,0.00,0.00,1068,2
12,PFC 150x75,0.00,0.00,1108,1
13,PFC 150x75,0.00,0.00,1108,3
14,PFC 150x75,0.00,0.00,1008,1
15,PFC 150x75,0.00,0.00,688,1
16,PFC 150x75,0.00,0.00,688,1
17,PFC 150x75,0.00,35.00,123,1
18,PFC 150x75,0.00,35.00,123,1
19,PFC 100x50,0.00,0.00,6000,2
20,PFC 100x50,0.00,0.00,6000,1
21,PFC 100x50,0.00,0.00,5950,1
22,PFC 100x50,0.00,0.00,3500,1
23,PFC 100x50,0.00,0.00,3500,1
24,PFC 100x50,0.00,0.00,3400,2
25,PFC 100x50,0.00,0.00,3350,2
26,PFC 100x50,0.00,0.00,2880,2
27,PFC 100x50,0.00,0.00,2880,1
28,PFC 100x50,0.00,0.00,2830,1
29,PFC 100x50,0.00,-,2595,1
30,PFC 100x50,-,0.00,2595,1
31,PFC 100x50,-,0.00,2545,1
32,PFC 100x50,0.00,-,2545,1
33,PFC 100x50,-,0.00,2490,2
34,PFC 100x50,0.00,0.00,2360,1
35,PFC 100x50,0.00,0.00,2360,1
36,PFC 100x50,0.00,0.00,2310,25
37,PFC 100x50,0.00,0.00,2250,1
38,PFC 100x50,0.00,0.00,2250,1
39,PFC 100x50,0.00,0.00,2200,8
40,PFC 100x50,0.00,0.00,1840,1
41,PFC 100x50,0.00,0.00,1810,1
42,PFC 100x50,0.00,0.00,1810,1
43,PFC 100x50,0.00,0.00,1530,22
44,PFC 100x50,0.00,0.00,1530,1
45,PFC 100x50,0.00,0.00,588,10
46,PFC 100x50,0.00,0.00,500,1
47,PFC 100x50,0.00,0.00,500,1
48,80x80x3 SHS,0.00,0.00,1070,1
49,80x80x3 SHS,0.00,0.00,1008,1
50,70x70x6 EA,0.00,0.00,2288,4
51,70x70x6 EA,0.00,0.00,2263,2
52,70x70x6 EA,0.00,0.00,1921,2
53,70x70x6 EA,0.00,0.00,1542,2
54,70x70x6 EA,0.00,0.00,1523,2
55,70x70x6 EA,0.00,0.00,1504,1
56,70x70x6 EA,0.00,0.00,1388,1
57,50x50x4 EA,0.00,0.00,2310,2
58,17-11-280-J01-PL05,,,,2
59,17-11-280-J01-PL18,,,,2
60,17-11-280-J01-PL16,,,,2
61,17-11-280-J01-PL25,,,,2
62,17-11-280-J01-PL01,,,,38
63,17-11-280-J01-PL26,,,,5
64,17-11-280-J01-PL14,,,,1
65,17-11-280-J01-PL15,,,,1
66,17-11-280-J01-PL11,,,,8
67,17-11-280-J01-PL09,,,,1
68,17-11-280-J01-PL21,,,,2
69,17-11-280-J01-PL02,,,,2
70,17-11-280-J01-PL07,,,,4
71,17-11-280-J01-PL04,,,,17
72,17-11-280-J01-PL22,,,,1
73,17-11-280-J01-PL24,,,,2
74,17-11-280-J01-PL06,,,,21
75,17-11-280-J01-PL30,,,,1
76,17-11-280-J01-PL03,,,,7
77,17-11-280-J01-PL23,,,,4
78,17-11-280-J01-PL28,,,,1
79,17-11-280-J01-PL13,,,,10
80,17-11-280-J01-PL17,,,,4
81,17-11-280-J01-PL27,,,,6
82,17-11-280-J01-PL12,,,,10
83,17-11-280-J01-PL20,,,,4
84,17-11-280-J01-PL19,,,,2
85,17-11-280-J01-PL29,,,,1
86,17-11-280-J01-PL32,,,,1
87,17-11-280-J01-PL41,,,,6
88,17-11-280-J01-PL34,,,,1
89,17-11-280-J01-PL31,,,,1
90,17-11-280-J01-PL42,,,,1
91,17-11-280-J01-PL37,,,,1
92,17-11-280-J01-PL49,,,,1
93,17-11-280-J01-PL39,,,,1
94,17-11-280-J01-PL43,,,,1
95,17-11-280-J01-PL33,,,,1
96,17-11-280-J01-PL44,,,,1
97,17-11-280-J01-PL47,,,,1
98,17-11-280-J01-PL46,,,,1
99,17-11-280-J01-PL45,,,,1
100,17-11-280-J01-PL40,,,,1
101,17-11-280-J01-PL35,,,,1
102,17-11-280-J01-PL36,,,,1
103,17-11-280-J01-PL38,,,,1
104,17-11-280-J01-PL48,,,,1
